year,zero_spot
0,0
1,0.00555
2,0.00684
3,0.00788
4,0.00866
5,0.00937
6,0.00997
7,0.0105
8,0.01098
9,0.01144
10,0.01188
11,0.01226
12,0.01259
13,0.01285
14,0.01308
15,0.0133
16,0.01345
17,0.01358
18,0.01368
19,0.01375
20,0.01378
21,0.01379
22,0.01376
23,0.01373
24,0.01369
25,0.01365
26,0.01361
27,0.01356
28,0.01351
29,0.01346
30,0.0134
31,0.01333
32,0.01325
33,0.01316
34,0.01306
35,0.01295
36,0.01283
37,0.01271
38,0.0126
39,0.0125
40,0.01241
41,0.01235
42,0.01229
43,0.01222
44,0.01214
45,0.01203
46,0.0119
47,0.01178
48,0.01168
49,0.01164
50,0.01166
51,0.01177
52,0.01193
53,0.01215
54,0.01241
55,0.0127
56,0.01301
57,0.01333
58,0.01367
59,0.01402
60,0.01437
61,0.01473
62,0.01508
63,0.01543
64,0.01579
65,0.01613
66,0.01648
67,0.01682
68,0.01715
69,0.01748
70,0.0178
71,0.01812
72,0.01843
73,0.01874
74,0.01903
75,0.01933
76,0.01961
77,0.01989
78,0.02016
79,0.02043
80,0.02069
81,0.02095
82,0.0212
83,0.02144
84,0.02168
85,0.02192
86,0.02215
87,0.02237
88,0.02259
89,0.0228
90,0.02301
91,0.02322
92,0.02342
93,0.02362
94,0.02381
95,0.024
96,0.02419
97,0.02437
98,0.02455
99,0.02472
100,0.02489
101,0.02506
102,0.02522
103,0.02539
104,0.02554
105,0.0257
106,0.02585
107,0.026
108,0.02615
109,0.02629
110,0.02643
111,0.02657
112,0.02671
113,0.02684
114,0.02698
115,0.02711
116,0.02723
117,0.02736
118,0.02748
119,0.0276
120,0.02772
121,0.02784
122,0.02795
123,0.02807
124,0.02818
125,0.02829
126,0.0284
127,0.0285
128,0.02861
129,0.02871
130,0.02881
131,0.02891
132,0.02901
133,0.02911
134,0.0292
135,0.0293
136,0.02939
137,0.02948
138,0.02957
139,0.02966
140,0.02975
141,0.02984
142,0.02992
143,0.03001
144,0.03009
145,0.03017
146,0.03025
147,0.03033
148,0.03041
149,0.03049
150,0.03056
