t,balance,interest,principal
0,50000.0,0.0,0.0
1,49050.0,50.0,950.0
2,48099.05,49.050000000000004,950.95
3,47147.14905,48.099050000000005,951.90095
4,46194.29619905,47.14714905,952.85285095
5,45240.49049524905,46.19429619905,953.80570380095
6,44285.730985744296,45.24049049524905,954.7595095047509
7,43330.01671673004,44.285730985744294,955.7142690142557
8,42373.34673344677,43.33001671673004,956.66998328327
9,41415.72008018022,42.37334673344677,957.6266532665533
10,40457.135800260396,41.415720080180215,958.5842799198198
11,39497.59293606065,40.457135800260396,959.5428641997396
12,38537.09052899671,39.497592936060656,960.5024070639394
13,37575.62761952571,38.537090528996714,961.4629094710033
14,36613.20324714523,37.57562761952571,962.4243723804743
15,35649.816450392376,36.613203247145236,963.3867967528547
16,34685.46626684277,35.64981645039238,964.3501835496077
17,33720.15173310961,34.685466266842774,965.3145337331572
18,32753.87188484272,33.72015173310961,966.2798482668904
19,31786.62575672756,32.753871884842724,967.2461281151573
20,30818.41238248429,31.78662575672756,968.2133742432725
21,29849.230794866773,30.81841238248429,969.1815876175157
22,28879.08002566164,29.849230794866774,970.1507692051332
23,27907.9591056873,28.87908002566164,971.1209199743383
24,26935.867064792987,27.9079591056873,972.0920408943127
25,25962.80293185778,26.935867064792987,973.064132935207
26,24988.76573478964,25.96280293185778,974.0371970681422
27,24013.75450052443,24.988765734789638,975.0112342652103
28,23037.768255024952,24.013754500524428,975.9862454994756
29,22060.806023279976,23.037768255024954,976.962231744975
30,21082.866829303257,22.060806023279977,977.93919397672
31,20103.94969613256,21.082866829303256,978.9171331706967
32,19124.05364582869,20.10394969613256,979.8960503038675
33,18143.17769947452,19.124053645828692,980.8759463541713
34,17161.320877173996,18.14317769947452,981.8568223005254
35,16178.48219805117,17.161320877173996,982.838679122826
36,15194.66068024922,16.17848219805117,983.8215178019489
37,14209.85534092947,15.194660680249221,984.8053393197508
38,13224.065196270398,14.209855340929469,985.7901446590705
39,12237.289261466669,13.224065196270399,986.7759348037296
40,11249.526550728136,12.23728926146667,987.7627107385333
41,10260.776077278864,11.249526550728136,988.7504734492719
42,9271.036853356143,10.260776077278864,989.7392239227212
43,8280.307890209499,9.271036853356144,990.7289631466439
44,7288.588198099708,8.2803078902095,991.7196921097905
45,6295.8767862978075,7.288588198099708,992.7114118019003
46,5302.172663084105,6.295876786297808,993.7041232137022
47,4307.474835747189,5.302172663084105,994.6978273369159
48,3311.782310582936,4.307474835747189,995.6925251642529
49,2315.094092893519,3.3117823105829363,996.6882176894171
50,1317.4091869864124,2.315094092893519,997.6849059071064
51,318.7265961733988,1.3174091869864124,998.6825908130136
52,-680.9546772304278,0.31872659617339877,999.6812734038266
53,-1681.635631907658,-0.6809546772304278,1000.6809546772304
54,-2683.317267539566,-1.6816356319076582,1001.6816356319076
55,-3686.0005848071055,-2.683317267539566,1002.6833172675396
56,-4689.686585391913,-3.686000584807106,1003.6860005848071
57,-5694.376271977304,-4.689686585391913,1004.6896865853919
58,-6700.0706482492815,-5.694376271977304,1005.6943762719773
59,-7706.770718897531,-6.700070648249282,1006.7000706482493
60,-8714.477489616429,-7.706770718897531,1007.7067707188976
61,-9723.191967106046,-8.71447748961643,1008.7144774896165
62,-10732.915159073153,-9.723191967106047,1009.723191967106
63,-11743.648074232226,-10.732915159073153,1010.7329151590732
64,-12755.391722306458,-11.743648074232226,1011.7436480742322
65,-13768.147114028765,-12.755391722306458,1012.7553917223065
66,-14781.915261142794,-13.768147114028766,1013.7681471140288
67,-15796.697176403937,-14.781915261142794,1014.7819152611428
68,-16812.49387358034,-15.796697176403937,1015.7966971764039
69,-17829.306367453923,-16.81249387358034,1016.8124938735804
70,-18847.135673821376,-17.829306367453924,1017.8293063674539
71,-19865.9828094952,-18.847135673821377,1018.8471356738214
72,-20885.848792304696,-19.8659828094952,1019.8659828094952
73,-21906.734641097002,-20.885848792304696,1020.8858487923047
74,-22928.641375738098,-21.906734641097003,1021.906734641097
75,-23951.570017113838,-22.9286413757381,1022.9286413757382
76,-24975.521587130952,-23.951570017113838,1023.9515700171138
77,-26000.497108718082,-24.975521587130952,1024.975521587131
78,-27026.4976058268,-26.000497108718083,1026.000497108718
79,-28053.524103432628,-27.0264976058268,1027.0264976058268
80,-29081.577627536062,-28.05352410343263,1028.0535241034327
81,-30110.6592051636,-29.081577627536063,1029.081577627536
82,-31140.76986436876,-30.1106592051636,1030.1106592051635
83,-32171.91063423313,-31.140769864368764,1031.1407698643688
84,-33204.082544867364,-32.17191063423313,1032.1719106342332
85,-34237.28662741223,-33.20408254486736,1033.2040825448673
86,-35271.52391403964,-34.23728662741223,1034.2372866274122
87,-36306.795437953675,-35.27152391403964,1035.2715239140396
88,-37343.102233391626,-36.306795437953674,1036.3067954379537
89,-38380.445335625016,-37.343102233391626,1037.3431022333916
90,-39418.825780960644,-38.38044533562502,1038.380445335625
91,-40458.2446067416,-39.418825780960645,1039.4188257809606
92,-41498.702851348346,-40.4582446067416,1040.4582446067416
93,-42540.201554199695,-41.49870285134835,1041.4987028513483
94,-43582.741755753894,-42.5402015541997,1042.5402015541997
95,-44626.324497509646,-43.582741755753894,1043.582741755754
