t,b,my_independent_variable,a,interest,principal,balance
0,-16.0,0.0,-16.0,0.0,0.0,400000.0
1,8.0,16.0,8.0,400.0,7600.0,392400.0
2,32.0,32.0,32.0,392.40000000000003,7607.599999999999,384792.39999999997
3,56.0,48.0,56.0,384.79240000000004,7615.207600000001,377177.1924
4,80.0,64.0,80.0,377.1771924,7622.8228076000005,369554.3695923999
5,104.0,80.0,104.0,369.5543695924,7630.4456304076,361923.9239619924
6,128.0,96.0,128.0,361.9239239619924,7638.076076038007,354285.8478859543
7,152.0,112.0,152.0,354.28584788595435,7645.714152114045,346640.13373384025
8,176.0,128.0,176.0,346.6401337338403,7653.35986626616,338986.7738675741
9,200.0,144.0,200.0,338.9867738675742,7661.013226132426,331325.76064144174
10,224.0,160.0,224.0,331.3257606414417,7668.674239358558,323657.0864020832
11,248.0,176.0,248.0,323.65708640208317,7676.342913597917,315980.7434884852
12,272.0,192.0,272.0,315.9807434884852,7684.019256511515,308296.7242319737
13,296.0,208.0,296.0,308.2967242319737,7691.703275768027,300605.02095620567
14,320.0,224.0,320.0,300.6050209562057,7699.394979043793,292905.62597716186
15,344.0,240.0,344.0,292.9056259771619,7707.094374022839,285198.53160313895
16,368.0,256.0,368.0,285.1985316031391,7714.801468396863,277483.73013474216
17,392.0,272.0,392.0,277.4837301347422,7722.5162698652575,269761.2138648769
18,416.0,288.0,416.0,269.7612138648769,7730.2387861351235,262030.97507874176
19,440.0,304.0,440.0,262.03097507874185,7737.969024921258,254293.00605382049
20,464.0,320.0,464.0,254.29300605382053,7745.70699394618,246547.29905987435
21,488.0,336.0,488.0,246.54729905987435,7753.452700940126,238793.84635893418
22,512.0,352.0,512.0,238.7938463589342,7761.206153641064,231032.64020529314
23,536.0,368.0,536.0,231.03264020529312,7768.967359794706,223263.6728454984
24,560.0,384.0,560.0,223.2636728454984,7776.736327154503,215486.9365183439
25,584.0,400.0,584.0,215.48693651834395,7784.513063481658,207702.42345486226
26,608.0,416.0,608.0,207.70242345486218,7792.297576545139,199910.12587831708
27,632.0,432.0,632.0,199.9101258783171,7800.0898741216815,192110.03600419543
28,656.0,448.0,656.0,192.11003600419542,7807.8899639958045,184302.1460401996
29,680.0,464.0,680.0,184.30214604019963,7815.697853959799,176486.4481862398
30,704.0,480.0,704.0,176.4864481862398,7823.51355181376,168662.93463442606
31,728.0,496.0,728.0,168.66293463442605,7831.337065365574,160831.59756906048
32,752.0,512.0,752.0,160.83159756906048,7839.168402430938,152992.42916662953
33,776.0,528.0,776.0,152.99242916662953,7847.00757083337,145145.42159579616
34,800.0,544.0,800.0,145.14542159579617,7854.854578404205,137290.567017392
35,824.0,560.0,824.0,137.29056701739196,7862.709432982608,129427.85758440939
36,848.0,576.0,848.0,129.42785758440937,7870.572142415592,121557.28544199375
37,872.0,592.0,872.0,121.5572854419938,7878.442714558006,113678.84272743575
38,896.0,608.0,896.0,113.67884272743574,7886.321157272564,105792.52157016318
39,920.0,624.0,920.0,105.7925215701632,7894.2074784298375,97898.31409173334
40,944.0,640.0,944.0,97.89831409173335,7902.1016859082665,89996.21240582509
41,968.0,656.0,968.0,89.99621240582509,7910.003787594176,82086.2086182309
42,992.0,672.0,992.0,82.08620861823091,7917.913791381769,74168.29482684915
43,1016.0,688.0,1016.0,74.16829482684915,7925.831705173151,66242.46312167599
44,1040.0,704.0,1040.0,66.242463121676,7933.757536878323,58308.705584797666
45,1064.0,720.0,1064.0,58.30870558479767,7941.691294415201,50367.01429038245
46,1088.0,736.0,1088.0,50.36701429038247,7949.632985709619,42417.38130467284
47,1112.0,752.0,1112.0,42.41738130467284,7957.582618695327,34459.79868597752
48,1136.0,768.0,1136.0,34.45979868597751,7965.540201314025,26494.258484663493
49,1160.0,784.0,1160.0,26.494258484663483,7973.505741515336,18520.752743148154
50,1184.0,800.0,1184.0,18.52075274314815,7981.4792472568515,10539.273495891299
51,1208.0,816.0,1208.0,10.5392734958913,7989.46072650411,2549.81276938719
52,1232.0,832.0,1232.0,2.54981276938719,7997.450187230613,-5447.637417843423
53,1256.0,848.0,1256.0,-5.447637417843423,8005.447637417842,-13453.085055261266
54,1280.0,864.0,1280.0,-13.453085055261267,8013.453085055261,-21466.538140316527
55,1304.0,880.0,1304.0,-21.466538140316523,8021.4665381403165,-29488.004678456844
56,1328.0,896.0,1328.0,-29.48800467845684,8029.488004678455,-37517.4926831353
57,1352.0,912.0,1352.0,-37.517492683135295,8037.517492683137,-45555.01017581843
58,1376.0,928.0,1376.0,-45.55501017581843,8045.555010175819,-53600.56518599425
59,1400.0,944.0,1400.0,-53.60056518599425,8053.600565185995,-61654.165751180255
60,1424.0,960.0,1424.0,-61.65416575118025,8061.6541657511825,-69715.81991693143
61,1448.0,976.0,1448.0,-69.71581991693144,8069.7158199169335,-77785.53573684837
62,1472.0,992.0,1472.0,-77.78553573684837,8077.785535736847,-85863.3212725852
63,1496.0,1008.0,1496.0,-85.86332127258524,8085.8633212725845,-93949.18459385782
64,1520.0,1024.0,1520.0,-93.94918459385781,8093.949184593859,-102043.13377845168
65,1544.0,1040.0,1544.0,-102.04313377845166,8102.043133778453,-110145.1769122301
66,1568.0,1056.0,1568.0,-110.14517691223013,8110.1451769122295,-118255.32208914237
67,1592.0,1072.0,1592.0,-118.25532208914237,8118.255322089142,-126373.57741123148
68,1616.0,1088.0,1616.0,-126.3735774112315,8126.37357741123,-134499.95098864273
69,1640.0,1104.0,1640.0,-134.49995098864272,8134.499950988642,-142634.45093963135
70,1664.0,1120.0,1664.0,-142.6344509396314,8142.63445093963,-150777.085390571
71,1688.0,1136.0,1688.0,-150.77708539057105,8150.7770853905695,-158927.8624759616
72,1712.0,1152.0,1712.0,-158.92786247596158,8158.927862475962,-167086.79033843757
73,1736.0,1168.0,1736.0,-167.08679033843757,8167.086790338437,-175253.877128776
74,1760.0,1184.0,1760.0,-175.25387712877603,8175.253877128778,-183429.1310059048
75,1784.0,1200.0,1784.0,-183.4291310059048,8183.429131005905,-191612.56013691073
76,1808.0,1216.0,1808.0,-191.6125601369107,8191.612560136911,-199804.17269704764
77,1832.0,1232.0,1832.0,-199.8041726970476,8199.804172697048,-208003.97686974469
78,1856.0,1248.0,1856.0,-208.0039768697447,8208.003976869744,-216211.98084661437
79,1880.0,1264.0,1880.0,-216.21198084661438,8216.211980846614,-224428.19282746103
80,1904.0,1280.0,1904.0,-224.42819282746106,8224.42819282746,-232652.62102028847
81,1928.0,1296.0,1928.0,-232.6526210202885,8232.652621020288,-240885.2736413088
82,1952.0,1312.0,1952.0,-240.88527364130874,8240.885273641308,-249126.15891495015
83,1976.0,1328.0,1976.0,-249.1261589149501,8249.12615891495,-257375.285073865
84,2000.0,1344.0,2000.0,-257.3752850738651,8257.375285073866,-265632.6603589389
85,2024.0,1360.0,2024.0,-265.6326603589389,8265.632660358939,-273898.2930192978
86,2048.0,1376.0,2048.0,-273.89829301929785,8273.8982930193,-282172.1913123171
87,2072.0,1392.0,2072.0,-282.1721913123171,8282.172191312316,-290454.3635036294
88,2096.0,1408.0,2096.0,-290.4543635036294,8290.45436350363,-298744.817867133
