t,my_independent_variable,interest,principal,balance,c,b,a
0,0.0,0.0,0.0,50000.0,2.0,2.0,1.0
1,2.0,50.0,950.0,49050.0,1.0,1.0,1.0
2,4.0,49.050000000000004,950.95,48099.05,1.0,1.0,1.0
3,6.0,48.099050000000005,951.90095,47147.14905,1.0,1.0,1.0
4,8.0,47.14714905,952.85285095,46194.29619905,1.0,1.0,1.0
5,10.0,46.19429619905,953.80570380095,45240.49049524905,1.0,1.0,1.0
6,12.0,45.24049049524905,954.7595095047509,44285.730985744296,1.0,1.0,1.0
7,14.0,44.285730985744294,955.7142690142557,43330.01671673004,1.0,1.0,1.0
8,16.0,43.33001671673004,956.66998328327,42373.34673344677,1.0,1.0,1.0
9,18.0,42.37334673344677,957.6266532665533,41415.72008018022,1.0,1.0,1.0
10,20.0,41.415720080180215,958.5842799198198,40457.135800260396,1.0,1.0,1.0
11,22.0,40.457135800260396,959.5428641997396,39497.59293606065,1.0,1.0,1.0
12,24.0,39.497592936060656,960.5024070639394,38537.09052899671,1.0,1.0,1.0
13,26.0,38.537090528996714,961.4629094710033,37575.62761952571,1.0,1.0,1.0
14,28.0,37.57562761952571,962.4243723804743,36613.20324714523,1.0,1.0,1.0
15,30.0,36.613203247145236,963.3867967528547,35649.816450392376,1.0,1.0,1.0
16,32.0,35.64981645039238,964.3501835496077,34685.46626684277,1.0,1.0,1.0
17,34.0,34.685466266842774,965.3145337331572,33720.15173310961,1.0,1.0,1.0
18,36.0,33.72015173310961,966.2798482668904,32753.87188484272,1.0,1.0,1.0
19,38.0,32.753871884842724,967.2461281151573,31786.62575672756,1.0,1.0,1.0
20,40.0,31.78662575672756,968.2133742432725,30818.41238248429,1.0,1.0,1.0
21,42.0,30.81841238248429,969.1815876175157,29849.230794866773,1.0,1.0,1.0
22,44.0,29.849230794866774,970.1507692051332,28879.08002566164,1.0,1.0,1.0
23,46.0,28.87908002566164,971.1209199743383,27907.9591056873,1.0,1.0,1.0
24,48.0,27.9079591056873,972.0920408943127,26935.867064792987,1.0,1.0,1.0
25,50.0,26.935867064792987,973.064132935207,25962.80293185778,1.0,1.0,1.0
26,52.0,25.96280293185778,974.0371970681422,24988.76573478964,1.0,1.0,1.0
27,54.0,24.988765734789638,975.0112342652103,24013.75450052443,1.0,1.0,1.0
28,56.0,24.013754500524428,975.9862454994756,23037.768255024952,1.0,1.0,1.0
29,58.0,23.037768255024954,976.962231744975,22060.806023279976,1.0,1.0,1.0
30,60.0,22.060806023279977,977.93919397672,21082.866829303257,1.0,1.0,1.0
31,62.0,21.082866829303256,978.9171331706967,20103.94969613256,1.0,1.0,1.0
32,64.0,20.10394969613256,979.8960503038675,19124.05364582869,1.0,1.0,1.0
33,66.0,19.124053645828692,980.8759463541713,18143.17769947452,1.0,1.0,1.0
34,68.0,18.14317769947452,981.8568223005254,17161.320877173996,1.0,1.0,1.0
35,70.0,17.161320877173996,982.838679122826,16178.48219805117,1.0,1.0,1.0
36,72.0,16.17848219805117,983.8215178019489,15194.66068024922,1.0,1.0,1.0
37,74.0,15.194660680249221,984.8053393197508,14209.85534092947,1.0,1.0,1.0
38,76.0,14.209855340929469,985.7901446590705,13224.065196270398,1.0,1.0,1.0
39,78.0,13.224065196270399,986.7759348037296,12237.289261466669,1.0,1.0,1.0
40,80.0,12.23728926146667,987.7627107385333,11249.526550728136,1.0,1.0,1.0
41,82.0,11.249526550728136,988.7504734492719,10260.776077278864,1.0,1.0,1.0
42,84.0,10.260776077278864,989.7392239227212,9271.036853356143,1.0,1.0,1.0
43,86.0,9.271036853356144,990.7289631466439,8280.307890209499,1.0,1.0,1.0
44,88.0,8.2803078902095,991.7196921097905,7288.588198099708,1.0,1.0,1.0
45,90.0,7.288588198099708,992.7114118019003,6295.8767862978075,1.0,1.0,1.0
46,92.0,6.295876786297808,993.7041232137022,5302.172663084105,1.0,1.0,1.0
47,94.0,5.302172663084105,994.6978273369159,4307.474835747189,1.0,1.0,1.0
48,96.0,4.307474835747189,995.6925251642529,3311.782310582936,1.0,1.0,1.0
49,98.0,3.3117823105829363,996.6882176894171,2315.094092893519,1.0,1.0,1.0
50,100.0,2.315094092893519,997.6849059071064,1317.4091869864124,1.0,1.0,1.0
51,102.0,1.3174091869864124,998.6825908130136,318.7265961733988,1.0,1.0,1.0
52,104.0,0.31872659617339877,999.6812734038266,-680.9546772304278,1.0,1.0,1.0
53,106.0,-0.6809546772304278,1000.6809546772304,-1681.635631907658,1.0,1.0,1.0
54,108.0,-1.6816356319076582,1001.6816356319076,-2683.317267539566,1.0,1.0,1.0
55,110.0,-2.683317267539566,1002.6833172675396,-3686.0005848071055,1.0,1.0,1.0
56,112.0,-3.686000584807106,1003.6860005848071,-4689.686585391913,1.0,1.0,1.0
57,114.0,-4.689686585391913,1004.6896865853919,-5694.376271977304,1.0,1.0,1.0
58,116.0,-5.694376271977304,1005.6943762719773,-6700.0706482492815,1.0,1.0,1.0
59,118.0,-6.700070648249282,1006.7000706482493,-7706.770718897531,1.0,1.0,1.0
60,120.0,-7.706770718897531,1007.7067707188976,-8714.477489616429,1.0,1.0,1.0
61,122.0,-8.71447748961643,1008.7144774896165,-9723.191967106046,1.0,1.0,1.0
62,124.0,-9.723191967106047,1009.723191967106,-10732.915159073153,1.0,1.0,1.0
63,126.0,-10.732915159073153,1010.7329151590732,-11743.648074232226,1.0,1.0,1.0
64,128.0,-11.743648074232226,1011.7436480742322,-12755.391722306458,1.0,1.0,1.0
65,130.0,-12.755391722306458,1012.7553917223065,-13768.147114028765,1.0,1.0,1.0
66,132.0,-13.768147114028766,1013.7681471140288,-14781.915261142794,1.0,1.0,1.0
67,134.0,-14.781915261142794,1014.7819152611428,-15796.697176403937,1.0,1.0,1.0
