t,my_independent_variable,z,y,x,interest,principal,balance,c,b,a
0,0.0,424242000.0,424242000.0,0.0,0.0,0.0,50000000.0,2000.0,2000.0,2000.0
1,2000.0,0.0,0.0,1000.0,50000.0,950000.0,49050000.0,2000.0,2000.0,2000.0
2,4000.0,1000.0,1000.0,2000.0,49050.000000000626,950949.9999999836,48099049.99999946,2000.0,2000.0,2000.0
3,6000.0,2000.0,2000.0,3000.0,48099.04999999941,951900.9500000137,47147149.049999475,2000.0,2000.0,2000.0
4,8000.0,3000.0,3000.0,4000.0,47147.149049999476,952852.8509499817,46194296.19905083,2000.0,2000.0,2000.0
5,10000.0,4000.0,4000.0,5000.0,46194.29619904987,953805.703800961,45240490.495249495,2000.0,2000.0,2000.0
6,12000.0,999000.0,6000.0,6000.0,45240.4904952491,954759.5095047652,44285730.985745125,2000.0,2000.0,2000.0
7,14000.0,999000.0,999000.0,12000.0,44285.730985743365,955714.2690142768,43330016.7167307,2000.0,2000.0,2000.0
8,16000.0,999000.0,999000.0,12000.0,43330.01671673042,956669.9832832675,42373346.733446345,2000.0,2000.0,2000.0
9,18000.0,999000.0,999000.0,12000.0,42373.34673344612,957626.6532665737,41415720.08018121,2000.0,2000.0,2000.0
10,20000.0,999000.0,999000.0,12000.0,41415.72008018045,958584.2799198327,40457135.80026026,2000.0,2000.0,2000.0
11,22000.0,999000.0,999000.0,12000.0,40457.13580026007,959542.8641997296,39497592.93606116,2000.0,2000.0,2000.0
12,24000.0,121212000.0,121212000.0,12000.0,39497.592936059686,960502.4070639554,38537090.528997235,2000.0,2000.0,2000.0
13,26000.0,999000.0,999000.0,12000.0,38537.0905289965,961462.9094710093,37575627.61952649,2000.0,2000.0,2000.0
14,28000.0,999000.0,999000.0,12000.0,37575.62761952506,962424.3723804815,36613203.24714487,2000.0,2000.0,2000.0
15,30000.0,999000.0,999000.0,12000.0,36613.2032471457,963386.796752836,35649816.45039201,2000.0,2000.0,2000.0
16,32000.0,999000.0,999000.0,12000.0,35649.816450393024,964350.1835495952,34685466.266843416,2000.0,2000.0,2000.0
17,34000.0,999000.0,999000.0,12000.0,34685.466266841955,965314.5337331733,33720151.73310879,2000.0,2000.0,2000.0
18,36000.0,999000.0,999000.0,12000.0,33720.151733109415,966279.8482668824,32753871.884842236,2000.0,2000.0,2000.0
19,38000.0,999000.0,999000.0,12000.0,32753.87188484183,967246.1281151356,31786625.756728414,2000.0,2000.0,2000.0
20,40000.0,999000.0,999000.0,12000.0,31786.6257567284,968213.3742432594,30818412.382483725,2000.0,2000.0,2000.0
21,42000.0,999000.0,999000.0,12000.0,30818.41238248385,969181.5876175015,29849230.79486644,2000.0,2000.0,2000.0
22,44000.0,999000.0,999000.0,12000.0,29849.230794866246,970150.7692051519,28879080.02566173,2000.0,2000.0,2000.0
23,46000.0,999000.0,999000.0,12000.0,28879.080025661297,971120.9199743179,27907959.10568796,2000.0,2000.0,2000.0
24,48000.0,999000.0,999000.0,12000.0,27907.959105687092,972092.0408943187,26935867.064792722,2000.0,2000.0,2000.0
25,50000.0,999000.0,999000.0,12000.0,26935.867064792616,973064.1329352218,25962802.931857493,2000.0,2000.0,2000.0
26,52000.0,999000.0,999000.0,12000.0,25962.80293185811,974037.1970681262,24988765.734789222,2000.0,2000.0,2000.0
