t,value
1,0.9999
2,0.9991
3,0.9992
4,0.9998
5,0.9995
6,0.9998
7,0.9992
8,0.9999
9,0.9991
10,0.9996
11,0.9999
12,0.9992
13,0.9996
14,0.9996
15,0.9993
16,0.9996
17,0.9994
18,0.999
19,0.9992
20,0.9994
21,0.9999
22,0.9997
23,0.9992
24,0.999
25,0.999
26,0.9995
27,0.9991
28,0.9992
29,0.9998
30,0.9999
31,0.9992
32,0.999
33,0.9995
34,0.9999
35,0.9991
36,0.9991
37,0.9998
38,0.9996
39,0.9993
40,0.9992
41,0.9999
42,0.9997
43,0.999
44,0.9991
45,0.999
46,0.9997
47,0.9999
48,0.999
49,0.9996
50,0.9999
51,0.9998
52,0.9998
53,0.9995
54,0.9998
55,0.999
56,0.999
57,0.9997
58,0.999
59,0.9995
60,0.9998
61,0.9999
62,0.9993
63,0.9999
64,0.9992
65,0.9998
66,0.9991
67,0.9991
68,0.9993
69,0.9996
70,0.9997
71,0.9992
72,0.9995
73,0.9998
74,0.9995
75,0.9991
76,0.999
77,0.9993
78,0.9994
79,0.9995
80,0.999
81,0.999
82,0.9992
83,0.9991
84,0.9996
85,0.9991
86,0.9997
87,0.9996
88,0.9996
89,0.9999
90,0.9998
91,0.9998
92,0.9997
93,0.9991
94,0.9991
95,0.999
96,0.9999
97,0.9997
98,0.9992
99,0.9997
100,0.9994
101,0.999
102,0.9995
103,0.9997
104,0.9998
105,0.9996
106,0.9992
107,0.9996
108,0.9991
109,0.9993
110,0.9993
111,0.9994
112,0.9992
113,0.9997
114,0.9996
115,0.9995
116,0.999
117,0.9998
118,0.9992
119,0.9993
120,0.999
121,0.9992
122,0.9993
123,0.9992
124,0.9997
125,0.9998
126,0.999
127,0.9999
128,0.9992
129,0.9993
130,0.9995
131,0.9992
132,0.9999
133,0.9991
134,0.9996
135,0.9998
136,0.9992
137,0.9996
138,0.9993
139,0.9994
140,0.9997
141,0.9995
142,0.9993
143,0.9996
144,0.9993
145,0.9997
146,0.9996
147,0.999
148,0.9995
149,0.999
150,0.9995
151,0.9996
152,0.9991
153,0.999
154,0.9998
155,0.9994
156,0.9992
157,0.9991
158,0.9992
159,0.9992
160,0.9997
161,0.999
162,0.9995
163,0.9999
164,0.9991
165,0.9996
166,0.9997
167,0.9994
168,0.9994
169,0.999
170,0.9997
171,0.9991
172,0.9993
173,0.9994
174,0.9997
175,0.9995
176,0.9999
177,0.9995
178,0.9991
179,0.999
180,0.9994
181,0.9999
182,0.9999
183,0.999
184,0.9998
185,0.999
186,0.9994
187,0.9993
188,0.9995
189,0.9992
190,0.9996
191,0.999
192,0.9999
193,0.999
194,0.999
195,0.9994
196,0.9992
197,0.9991
198,0.999
199,0.9994
200,0.9996
201,0.9997
202,0.9993
203,0.9999
204,0.9991
205,0.9996
206,0.9999
207,0.9994
208,0.9996
209,0.9999
210,0.9998
211,0.9998
212,0.9998
213,0.9993
214,0.9993
215,0.9997
216,0.9998
217,0.9999
218,0.9993
219,0.9994
220,0.9991
221,0.9991
222,0.9992
223,0.9992
224,0.9998
225,0.9994
226,0.9995
227,0.9993
228,0.9994
229,0.9996
230,0.9991
231,0.9995
232,0.9996
233,0.9995
234,0.9993
235,0.999
236,0.9995
237,0.9993
238,0.9996
239,0.9996
240,0.9994
241,0.9999
242,0.999
243,0.999
244,0.9995
245,0.9995
246,0.9996
247,0.9992
248,0.9994
249,0.9996
250,0.999
251,0.9994
252,0.9998
253,0.9991
254,0.9992
255,0.9992
256,0.999
257,0.9991
258,0.9996
259,0.9991
260,0.9995
261,0.9997
262,0.9993
263,0.9997
264,0.9994
265,0.9999
266,0.9993
267,0.9996
268,0.9992
269,0.9991
270,0.9997
271,0.9999
272,0.9992
273,0.9996
274,0.999
275,0.9997
276,0.9991
277,0.9992
278,0.9996
279,0.9991
280,0.9998
281,0.9995
282,0.9992
283,0.9995
284,0.999
285,0.9991
286,0.9997
287,0.9996
288,0.9997
289,0.9997
290,0.9996
291,0.9991
292,0.9995
293,0.9998
294,0.9992
295,0.9999
296,0.9997
297,0.999
298,0.9994
299,0.9994
300,0.9996
301,0.9993
302,0.999
303,0.9999
304,0.9992
305,0.9996
