t,discount_rate1,discount_rate2,premium,pv_premiums1,pv_premiums2
0,1.0,1.0,1000.0,789898.2787304269,793480.8181618575
1,0.9999,0.9998,1000.0,788977.1764480717,792639.3460310637
2,0.9991,0.9997,1000.0,788686.9947433408,791876.9091037948
3,0.9992,0.9993,1000.0,788317.6488624307,791430.9107413138
4,0.9998,0.9999,1000.0,787475.1438912089,790509.9617374876
5,0.9995,0.999,1000.0,786868.578180299,790300.2619994871
6,0.9998,0.9999,1000.0,786025.7833369664,789379.199919479
7,0.9992,0.9998,1000.0,785654.3067823923,788536.9073009391
8,0.9999,0.9992,1000.0,784732.7800603984,788167.4412539422
9,0.9991,0.999,1000.0,784438.7749578605,787955.3966505928
10,0.9996,0.9996,1000.0,783752.2758682077,787270.3047725018
11,0.9999,0.9994,1000.0,782830.5589241001,786742.3501826114
12,0.9992,0.9995,1010.0,782456.5241434149,786135.4178915571
13,0.9996,0.9995,1010.0,781759.2278345487,785518.176980047
14,0.9996,0.9998,1010.0,781061.6524955468,784665.1100020474
15,0.9993,0.9995,1010.0,780598.0711453486,784047.1335688317
16,0.9996,0.9994,1010.0,779900.0311578116,783507.2379115787
17,0.9994,0.9994,1010.0,779357.6457452588,782967.0181224522
18,0.999,0.9996,1010.0,779126.7725177766,782269.9260928893
19,0.9992,0.9994,1010.0,778739.76432924,781728.9634709719
20,0.9994,0.9992,1010.0,778196.6823386432,781344.0387019335
21,0.9999,0.9994,1010.0,777264.4087795211,780802.520214062
22,0.9997,0.9996,1010.0,776487.3549860169,780104.5620388775
23,0.9992,0.9995,1010.0,776098.2335728751,779484.3041909729
24,0.999,0.9999,1020.1,775864.0976705457,778552.1594069137
25,0.999,0.999,1020.1,775619.6172878336,778310.3697766904
26,0.9995,0.9998,1020.1,774987.0107932301,777445.7589284761
27,0.9991,0.9994,1020.1,774664.108490872,776891.7940048791
28,0.9992,0.999,1020.1,774263.419226253,776648.3423472263
29,0.9998,0.9991,1020.1,773397.9988260183,776326.9365901576
30,0.9999,0.999,1020.1,772455.1443404524,776082.9195096672
31,0.9992,0.9992,1020.1,772052.6864896441,775683.3662026294
32,0.999,0.999,1020.1,771804.3908805246,775438.704907537
33,0.9995,0.9995,1020.1,771169.8758184338,774806.0079114927
34,0.9999,0.9999,1020.1,770226.7984982837,773863.2942409168
35,0.9991,0.9994,1020.1,769899.6081456149,773307.1785480457
36,0.9991,0.9999,1030.301,769572.1230563656,772364.3149795437
37,0.9998,0.9993,1030.301,768695.5611685994,771874.3260077492
38,0.9996,0.9995,1030.301,767972.4491482587,771229.639827663
39,0.9993,0.999,1030.301,767479.3837168606,770970.3091367998
40,0.9992,0.9995,1030.301,767062.7329031831,770325.1707221608
41,0.9999,0.9999,1030.301,766109.0428074639,769371.8069028511
42,0.9997,0.9997,1030.301,765308.3343077563,768572.077526109
43,0.999,0.999,1030.301,765043.0763841404,768310.0866127217
44,0.9991,0.9995,1030.301,764701.0062898012,767663.6174214324
45,0.999,0.9991,1030.301,764435.1404302315,767323.9079385771
46,0.9997,0.9996,1030.301,763633.9296091142,766600.2470373921
47,0.9999,0.9991,1030.301,762679.8965987741,766259.5796590854
48,0.999,0.9994,1040.60401,762412.0076063805,765688.6918742099
49,0.9996,0.9993,1040.60401,761676.0740259909,765183.7164657359
50,0.9999,0.9999,1040.60401,760711.5411701079,764219.5344091768
51,0.9998,0.9992,1040.60401,759822.901740456,763789.962369072
52,0.9998,0.999,1040.60401,758934.0845473654,763512.8712303023
53,0.9995,0.9998,1040.60401,758272.6168457883,762624.7921787379
54,0.9998,0.9994,1040.60401,757383.489533695,762041.4130165479
55,0.999,0.9995,1040.60401,757099.9855092042,761381.4997564261
56,0.999,0.9998,1040.60401,756816.1976969012,760492.9943452951
57,0.9997,0.9994,1040.60401,756002.3944052227,759908.335336497
58,0.999,0.999,1040.60401,755717.5079031258,759627.3586851822
59,0.9995,0.9992,1040.60401,755054.4311086801,759194.1099631527
60,0.9998,0.9994,1051.0100501,754164.6600306862,758608.6711558462
61,0.9999,0.9997,1051.0100501,753188.9688774738,757784.9966047276
62,0.9993,0.9998,1051.0100501,752664.8242043168,756885.363627353
63,0.9999,0.9993,1051.0100501,751688.9830525221,756363.8082430231
64,0.9992,0.9998,1051.0100501,751238.9641737611,755463.8909711173
65,0.9998,0.9999,1051.0100501,750338.0217280067,754488.3297539926
66,0.9991,0.9998,1051.0100501,749961.9774576185,753588.0373113548
67,0.9991,0.9996,1051.0100501,749585.5944425167,752838.1625262653
68,0.9993,0.9991,1051.0100501,749058.9256403649,752464.3704095338
69,0.9996,0.9994,1051.0100501,748307.238485659,751864.479046862
70,0.9997,0.9998,1051.0100501,747480.4725773322,750963.6617291077
71,0.9992,0.999,1051.0100501,747027.0841945878,750663.3149940016
72,0.9995,0.999,1061.5201506009998,746349.2487688721,750362.6676115132
73,0.9998,0.999,1061.5201506009998,745436.8159814674,750051.1986595717
74,0.9995,0.9995,1061.5201506009998,744747.6696656991,749364.3606893152
75,0.9991,0.9999,1061.5201506009998,744356.0699780784,748377.6783065449
76,0.999,0.9994,1061.5201506009998,744038.5884158933,747764.8170461716
77,0.9993,0.9991,1061.5201506009998,743497.516526861,747375.9352372842
78,0.9994,0.9996,1061.5201506009998,742881.7254115068,746613.0603108074
79,0.9995,0.9991,1061.5201506009998,742191.3009113615,746223.1409870947
80,0.999,0.9993,1061.5201506009998,741871.6524131736,745683.5993560429
81,0.999,0.9996,1061.5201506009998,741551.683946519,744920.0472243315
82,0.9992,0.9993,1061.5201506009998,741083.0302200941,744379.5927886826
83,0.9991,0.9994,1061.5201506009998,740688.1293859405,743764.3312368236
84,0.9996,0.9994,1072.1353521070098,739922.5782666461,743148.7003064064
85,0.9991,0.9998,1072.1353521070098,739516.0073211282,742225.0099562906
86,0.9997,0.9998,1072.1353521070098,738665.4716105043,741301.1348311498
87,0.9996,0.9997,1072.1353521070098,737888.4916550593,740451.1348194886
88,0.9996,0.9997,1072.1353521070098,737111.2007832655,739600.879731301
89,0.9999,0.9997,1072.1353521070098,736112.6766988283,738750.3694900409
90,0.9998,0.9995,1072.1353521070098,735187.5788624939,738047.2577668173
91,0.9998,0.9994,1072.1353521070098,734262.2959695808,737417.5729584855
92,0.9997,0.9996,1072.1353521070098,733410.1836725755,736640.093643836
93,0.9991,0.9996,1072.1353521070098,732997.7462921315,735862.3032130142
94,0.9991,0.9996,1072.1353521070098,732584.9373836698,735084.2015415237
95,0.999,0.9994,1072.1353521070098,732245.0470786414,734452.737832116
96,0.9999,0.9997,1082.85670562808,731246.0363301673,733600.6826848144
97,0.9997,0.9996,1082.85670562808,730382.294312833,732810.95035933
98,0.9992,0.9991,1082.85670562808,729883.3442826311,732387.2421716565
99,0.9997,0.9996,1082.85670562808,729019.1933350035,731597.0242757386
100,0.9994,0.9998,1082.85670562808,728373.3606457629,730660.2996300365
101,0.999,0.9998,1082.85670562808,728018.5224625973,729723.3876019288
102,0.9995,0.9991,1082.85670562808,727299.3154146766,729296.8981045948
103,0.9997,0.9997,1082.85670562808,726434.3890257562,728432.5711703177
104,0.9998,0.9994,1082.85670562808,725496.6316464574,727786.3862964675
105,0.9996,0.999,1082.85670562808,724703.6564033906,727430.9605513908
106,0.9992,0.9993,1082.85670562808,724200.159825623,726856.9036783376
107,0.9996,0.9996,1082.85670562808,723406.6657863094,726064.4727618141
108,0.9991,0.9994,1093.6852726843608,722974.4861181877,725416.8661758916
109,0.9993,0.999,1093.6852726843608,722386.4713754662,725048.2291323396
110,0.9993,0.9994,1093.6852726843608,721798.0447340958,724389.177366075
111,0.9994,0.9992,1093.6852726843608,721137.0416864234,723874.5917668041
112,0.9992,0.9991,1093.6852726843608,720619.8522955755,723431.9952898807
113,0.9997,0.9995,1093.6852726843608,719742.0896497861,722699.6598471198
114,0.9996,0.9992,1093.6852726843608,718935.9787686092,722183.7215516769
115,0.9995,0.9994,1093.6852726843608,718201.3941930213,721522.950049022
116,0.999,0.9994,1093.6852726843608,717825.5344547918,720861.7818454449
117,0.9998,0.9994,1093.6852726843608,716875.2242269529,720200.2167027823
118,0.9992,0.9999,1093.6852726843608,716354.6226523905,719178.4492750255
119,0.9993,0.9999,1093.6852726843608,715761.9707592377,718156.5796603073
120,0.999,0.9999,1104.6221254112045,715383.6691557091,717134.6078484078
121,0.9992,0.9992,1104.6221254112045,714850.9277725159,716603.2683376668
122,0.9993,0.9999,1104.6221254112045,714246.278041734,715570.2032325788
123,0.9992,0.9992,1104.6221254112045,713712.6260171366,715037.6111961246
124,0.9997,0.999,1104.6221254112045,712821.8504468595,714647.6367074208
125,0.9998,0.9994,1104.6221254112045,711859.6002414966,713971.397420462
126,0.999,0.9993,1104.6221254112045,711466.4445606461,713366.1315871618
127,0.9999,0.9994,1104.6221254112045,710432.8657218071,712689.122935512
128,0.9992,0.9992,1104.6221254112045,709896.1605248158,712154.2241894524
129,0.9993,0.9994,1104.6221254112045,709288.0400274239,711476.4879568153
130,0.9995,0.9998,1104.6221254112045,708537.6867453854,710513.9686251291
131,0.9992,0.9995,1104.6221254112045,707999.4641913273,709764.2286140249
132,0.9999,0.9996,1115.6683466653164,706965.5386197781,708943.1837621186
133,0.9991,0.9997,1115.6683466653164,706485.7074097816,708039.9273936714
134,0.9996,0.9993,1115.6683466653164,705652.2999831095,707419.4526638708
135,0.9998,0.9994,1115.6683466653164,704677.567149874,706727.8210098114
