age,male,female
0,0.00389,0.00315
1,0.00028,0.00019
2,0.00019,0.00014
3,0.00015,0.00011
4,0.00012,0.00009
5,0.0001,0.00008
6,0.00009,0.00007
7,0.00009,0.00007
8,0.00009,0.00007
9,0.00009,0.00007
10,0.00009,0.00008
11,0.0001,0.00009
12,0.00011,0.0001
13,0.00014,0.00012
14,0.00017,0.00013
15,0.00023,0.00015
16,0.0003,0.00017
17,0.0004,0.00019
18,0.0005,0.00021
19,0.00061,0.00023
20,0.00072,0.00025
21,0.00081,0.00026
22,0.00088,0.00027
23,0.00094,0.00027
24,0.00099,0.00027
25,0.00104,0.00028
26,0.00109,0.00028
27,0.00114,0.00029
28,0.00119,0.00031
29,0.00126,0.00033
30,0.00135,0.00035
31,0.00144,0.00038
32,0.00155,0.00042
33,0.00167,0.00046
34,0.00179,0.00051
35,0.00193,0.00057
36,0.00207,0.00063
37,0.00222,0.00069
38,0.00238,0.00075
39,0.00256,0.00082
40,0.00276,0.0009
41,0.00299,0.00099
42,0.00326,0.00109
43,0.00356,0.0012
44,0.0039,0.00133
45,0.00429,0.00148
46,0.00472,0.00164
47,0.00521,0.00184
48,0.00575,0.00206
49,0.00635,0.0023
50,0.007,0.00258
51,0.00771,0.00288
52,0.00847,0.00319
53,0.00928,0.00352
54,0.01015,0.00388
55,0.01111,0.00427
56,0.01217,0.00471
57,0.01335,0.0052
58,0.01466,0.00576
59,0.0161,0.00638
60,0.01765,0.00707
61,0.0193,0.00783
62,0.02107,0.00863
63,0.02297,0.00949
64,0.025,0.01042
65,0.02714,0.01142
66,0.02941,0.01252
67,0.03177,0.01375
68,0.03417,0.0151
69,0.03665,0.01662
70,0.03925,0.01829
71,0.04201,0.02014
72,0.04501,0.02219
73,0.04833,0.02445
74,0.052,0.02694
75,0.05609,0.0297
76,0.06064,0.03277
77,0.06571,0.03621
78,0.07137,0.04011
79,0.07772,0.04461
80,0.0848,0.04987
81,0.09269,0.056
82,0.10144,0.06316
83,0.11107,0.07148
84,0.12154,0.08092
85,0.1328,0.09144
86,0.14477,0.10299
87,0.1573,0.11544
88,0.17024,0.12863
89,0.18356,0.14258
90,0.19722,0.15728
91,0.21122,0.17271
92,0.22555,0.18888
93,0.24025,0.20577
94,0.25524,0.22329
95,0.27045,0.2413
96,0.28581,0.25969
97,0.30122,0.27829
98,0.31662,0.29696
99,0.33192,0.31554
100,0.34704,0.33387
